,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_rp21_4.pdb,11.403,0.0018180225753690604,0.257,0.277,0.0,0.361,44.339,55.55,0.136,0.762,1.286,2.042,0.244,0.0,0.281,0.122,0.22,0.317,0.463,0.523
normalized_3drna_rp21_3.pdb,11.66,0.002844341017156693,0.595,0.647,0.645,0.564,19.594,28.75,0.548,0.656,1.203,1.725,0.734,0.0,0.646,0.585,0.61,0.658,0.732,0.573
normalized_best_rp21_62.pdb,11.716,0.00312683785149237,0.542,0.458,,0.668,21.613,30.7,0.181,0.61,1.259,2.194,0.86,0.0,0.299,0.171,0.244,0.342,0.439,0.058
normalized_3drna_rp21_4.pdb,11.855,0.0039407419152010514,0.554,0.614,0.359,0.588,21.402,27.95,0.522,0.638,1.212,1.771,0.782,0.0,0.646,0.512,0.634,0.683,0.756,0.595
normalized_best_rp21_65.pdb,12.055,0.0054511463808101235,0.381,0.404,0.0,0.438,31.631,31.03,0.219,0.566,1.241,2.236,0.893,0.0,0.366,0.22,0.342,0.415,0.488,0.002
normalized_best_rp21_63.pdb,12.088,0.00574639322048992,0.363,0.555,0.0,0.363,33.296,45.95,0.179,0.541,1.283,2.006,0.324,0.0,0.305,0.146,0.268,0.317,0.488,0.283
normalized_best_rp21_48.pdb,12.145,0.006279595424443674,0.426,0.416,0.0,0.502,28.513,32.41,0.229,0.579,1.258,2.209,1.16,0.0,0.372,0.244,0.342,0.415,0.488,0.354
normalized_best_rp21_11.pdb,12.233,0.007207798803001375,0.569,0.92,0.0,0.522,21.517,37.69,0.187,0.59,1.361,1.735,0.56,0.0,0.329,0.146,0.268,0.342,0.561,0.341
normalized_best_rp21_84.pdb,12.233,0.007207798803001375,0.569,0.92,0.0,0.522,21.517,37.69,0.187,0.59,1.361,1.735,0.56,0.0,0.329,0.146,0.268,0.342,0.561,0.341
normalized_best_rp21_64.pdb,12.284,0.007797233684600113,0.444,0.555,0.0,0.523,27.64,44.57,0.152,0.561,1.282,2.029,0.305,0.0,0.281,0.146,0.195,0.317,0.463,0.33
normalized_best_rp21_66.pdb,12.405,0.009357350308532242,0.348,0.496,0.0,0.371,35.631,52.53,0.19,0.548,1.323,2.163,0.274,0.0,0.329,0.171,0.268,0.317,0.561,0.304
normalized_best_rp21_79.pdb,13.021,0.02226110806070447,0.567,0.92,0.0,0.536,22.964,37.73,0.187,0.57,1.455,1.734,0.545,0.0,0.305,0.146,0.244,0.342,0.488,0.339
normalized_best_rp21_31.pdb,13.021,0.02226110803127196,0.567,0.92,0.0,0.536,22.964,37.73,0.187,0.57,1.455,1.734,0.545,0.0,0.305,0.146,0.244,0.342,0.488,0.339
normalized_eprna_rp21.pdb,13.065,0.02360404456855736,0.0,,0.0,,inf,84.15,0.129,0.456,1.195,2.327,0.014,0.0,0.232,0.098,0.146,0.244,0.439,0.0
normalized_best_rp21_68.pdb,13.287,0.03132986384768427,0.462,0.43,0.0,0.554,28.766,35.33,0.237,0.596,1.408,2.226,0.962,0.0,0.354,0.22,0.317,0.415,0.463,0.009
normalized_best_rp21_57.pdb,13.287,0.03132986384768427,0.462,0.43,0.0,0.554,28.766,35.33,0.237,0.596,1.408,2.226,0.962,0.0,0.354,0.22,0.317,0.415,0.463,0.009
normalized_3drna_rp21.pdb,13.381,0.03520983007478845,0.468,0.614,0.0,0.528,28.619,31.73,0.25,0.624,1.301,2.036,0.694,0.0,0.408,0.244,0.342,0.439,0.61,0.362
normalized_best_rp21_22.pdb,14.167,0.08498863880975727,0.46,0.538,0.0,0.51,30.796,38.58,0.166,0.557,1.481,2.184,0.78,0.0,0.305,0.122,0.22,0.39,0.488,0.044
normalized_best_rp21_38.pdb,14.167,0.08498865981247244,0.46,0.538,0.0,0.51,30.796,38.58,0.166,0.557,1.481,2.184,0.78,0.0,0.305,0.122,0.22,0.39,0.488,0.044
normalized_best_rp21_5.pdb,14.167,0.08498838685570514,0.46,0.538,0.0,0.51,30.796,38.58,0.166,0.557,1.481,2.184,0.78,0.0,0.305,0.122,0.22,0.39,0.488,0.044
normalized_best_rp21_56.pdb,14.167,0.08498827732623027,0.46,0.538,0.0,0.51,30.796,38.58,0.166,0.557,1.481,2.184,0.78,0.0,0.305,0.122,0.22,0.39,0.488,0.044
normalized_best_rp21_70.pdb,14.52,0.11976795727828049,0.595,0.815,0.0,0.634,24.384,29.96,0.195,0.597,1.534,1.878,0.969,0.0,0.329,0.195,0.293,0.366,0.463,0.339
normalized_best_rp21_36.pdb,14.598,0.1285852749287577,0.467,0.585,0.0,0.498,31.275,36.88,0.142,0.565,1.524,2.089,0.77,0.0,0.299,0.122,0.244,0.366,0.463,0.034
normalized_best_rp21_45.pdb,14.598,0.12858060552427425,0.467,0.585,0.0,0.498,31.275,36.88,0.142,0.565,1.524,2.089,0.77,0.0,0.299,0.122,0.244,0.366,0.463,0.034
normalized_best_rp21_21.pdb,14.598,0.12858060552427425,0.467,0.585,0.0,0.498,31.275,36.88,0.142,0.565,1.524,2.089,0.77,0.0,0.299,0.122,0.244,0.366,0.463,0.034
normalized_best_rp21_29.pdb,14.598,0.12858523995744353,0.467,0.585,0.0,0.498,31.275,36.88,0.142,0.565,1.524,2.089,0.77,0.0,0.299,0.122,0.244,0.366,0.463,0.034
normalized_best_rp21_9.pdb,14.629,0.13231179943331972,0.425,0.439,0.183,0.477,34.417,35.12,0.208,0.608,1.501,2.092,0.572,0.0,0.415,0.146,0.342,0.439,0.732,0.378
normalized_best_rp21_92.pdb,14.629,0.13231179943331972,0.425,0.439,0.183,0.477,34.417,35.12,0.208,0.608,1.501,2.092,0.572,0.0,0.415,0.146,0.342,0.439,0.732,0.378
normalized_best_rp21_26.pdb,16.051,0.37222275112976827,0.487,0.538,0.0,0.588,32.967,31.59,0.226,0.587,1.664,2.12,0.954,0.0,0.408,0.22,0.293,0.488,0.634,0.362
normalized_best_rp21_30.pdb,16.226,0.40962757974382974,0.533,0.538,0.0,0.657,30.42,27.7,0.21,0.603,1.601,2.058,0.997,0.0,0.378,0.171,0.317,0.439,0.585,0.36
normalized_best_rp21_12.pdb,16.976,0.5746252577681106,0.519,0.538,0.0,0.647,32.721,28.95,0.215,0.587,1.666,2.072,0.945,0.0,0.396,0.195,0.293,0.463,0.634,0.352
normalized_best_rp21_27.pdb,17.039,0.5882224465636628,0.489,0.585,0.0,0.543,34.858,31.93,0.187,0.591,1.756,2.106,0.661,0.0,0.354,0.171,0.244,0.366,0.634,0.316
normalized_best_rp21_77.pdb,17.039,0.5882223934247934,0.489,0.585,0.0,0.543,34.858,31.93,0.187,0.591,1.756,2.106,0.661,0.0,0.354,0.171,0.244,0.366,0.634,0.316
normalized_rnajp_rp21.pdb,17.13,0.6078788255453069,0.556,0.614,0.0,0.629,30.821,28.41,0.17,0.599,1.751,1.864,0.755,0.0,0.384,0.122,0.244,0.463,0.707,0.033
normalized_best_rp21_73.pdb,17.488,0.6817445088200883,0.523,0.585,0.0,0.599,33.439,39.56,0.237,0.603,1.766,1.975,0.619,0.0,0.463,0.195,0.366,0.512,0.78,0.334
normalized_vfold_rp21.pdb,17.624,0.7081215970678212,0.492,0.647,0.0,0.562,35.807,34.02,0.181,0.615,1.816,1.994,0.518,0.0,0.378,0.122,0.244,0.488,0.658,0.001
normalized_best_rp21_91.pdb,17.665,0.7159127568742004,0.472,0.56,0.0,0.564,37.437,28.74,0.205,0.589,1.817,2.094,0.926,0.0,0.39,0.195,0.317,0.463,0.585,0.369
normalized_best_rp21_17.pdb,17.806,0.7418494922707264,0.487,0.519,0.0,0.588,36.572,27.77,0.197,0.607,1.812,2.05,0.955,0.0,0.408,0.195,0.317,0.463,0.658,0.373
normalized_best_rp21_32.pdb,17.919,0.7618334756936427,0.436,0.519,0.0,0.503,41.118,31.37,0.207,0.594,1.835,2.132,0.964,0.0,0.378,0.195,0.293,0.415,0.61,0.362
normalized_best_rp21_88.pdb,18.027,0.78000458488733,0.527,0.56,0.0,0.623,34.179,29.52,0.212,0.628,1.852,2.032,0.932,0.0,0.372,0.171,0.317,0.415,0.585,0.378
normalized_best_rp21_15.pdb,18.049,0.7835869793092269,0.487,0.501,0.0,0.599,37.072,28.37,0.203,0.594,1.863,2.117,0.978,0.0,0.372,0.195,0.317,0.415,0.561,0.365
normalized_best_rp21_76.pdb,18.089,0.7899715010781374,0.501,0.585,0.0,0.575,36.092,40.66,0.189,0.588,1.82,2.016,0.545,0.0,0.354,0.146,0.293,0.463,0.512,0.319
